page,button_text,handler,target_route_or_api,status,button_type
frontend/src/pages/HospitalAdmin/RecruitmentAds.jsx,Hire,"() => updateApplicationStatus(a._id, ""HIRED"")",(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/RecruitmentAds.jsx,Pause,"() => setStatus(ad._id, ""PAUSED"")",(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/RecruitmentAds.jsx,Reject,"() => updateApplicationStatus(a._id, ""REJECTED"")",(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/RecruitmentAds.jsx,Review,"() => updateApplicationStatus(a._id, ""UNDER_REVIEW"")",(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/RecruitmentAds.jsx,Shortlist,"() => updateApplicationStatus(a._id, ""SHORTLISTED"")",(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/RegisterStaff.jsx,(dynamic/no-text),(none),(manual),MANUAL_REVIEW,submit
frontend/src/pages/HospitalAdmin/StaffManagement.jsx,Deactivate,() => deactivate(s._id),(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/StaffManagement.jsx,Next,() => setPage((p) => p + 1),(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/StaffManagement.jsx,Prev,"() => setPage((p) => Math.max(1, p - 1))",(manual),MANUAL_REVIEW,button
frontend/src/pages/HospitalAdmin/StaffManagement.jsx,Refresh,load,(manual),MANUAL_REVIEW,button
frontend/src/pages/LabTech/Dashboard.jsx,Equipment Logs,"() => navigate(""/lab-tech/equipment"")",/lab-tech/equipment,VERIFIED_ROUTE,button
frontend/src/pages/LabTech/Dashboard.jsx,Quality Control,"() => navigate(""/lab-tech/qc"")",/lab-tech/qc,VERIFIED_ROUTE,button
frontend/src/pages/LabTech/Dashboard.jsx,Reports Archive,"() => navigate(""/lab-tech/archive"")",/lab-tech/archive,VERIFIED_ROUTE,button
frontend/src/pages/LabTech/Dashboard.jsx,Safety Checklist,"() => navigate(""/lab-tech/safety"")",/lab-tech/safety,VERIFIED_ROUTE,button
frontend/src/pages/LabTech/Dashboard.jsx,Sample Tracking,"() => navigate(""/lab-tech/samples"")",/lab-tech/samples,VERIFIED_ROUTE,button
frontend/src/pages/LabTech/Dashboard.jsx,Test Processing Table,"() => navigate(""/lab-tech/test-queue"")",/lab-tech/test-queue,VERIFIED_ROUTE,button
frontend/src/pages/LabTech/Dashboard.jsx,Test Queue,"() => navigate(""/lab-tech/test-queue"")",/lab-tech/test-queue,VERIFIED_ROUTE,button
frontend/src/pages/LabTech/LabTests.jsx,Delete,()=>remove(it._id),(manual),MANUAL_REVIEW,button
frontend/src/pages/LabTech/LabTests.jsx,Order,(none),(manual),MANUAL_REVIEW,submit
frontend/src/pages/LabTech/LabTests.jsx,Upload Result,()=>upload(it._id),(manual),MANUAL_REVIEW,button
frontend/src/pages/Nurse/AssignedPatients.jsx,Open,() => navigate(`/nurse/vitals?patientId=${p._id}`),/nurse/vitals?patientId=${p._id},MANUAL_REVIEW_ROUTE,button
frontend/src/pages/Nurse/Dashboard.jsx,Assigned Patients,"() => navigate(""/nurse/patients"")",/nurse/patients,VERIFIED_ROUTE,button
frontend/src/pages/Nurse/Dashboard.jsx,Incident Reports,"() => navigate(""/nurse/incidents"")",/nurse/incidents,VERIFIED_ROUTE,button
